# Steam concurrent players log (tab-separated)
# time_local	unix	game	appid	players
# Leave Chat Helper running to collect overnight trends.
2026-07-16T22:10:50	1784257850	The Quinfall	2294660	900
2026-07-16T22:10:50	1784257850	The Quinfall	2294660	950
2026-07-16T22:16:08	1784258168	The Quinfall	2294660	1006
2026-07-16T22:26:13	1784258773	The Quinfall	2294660	1006
2026-07-16T22:29:50	1784258990	The Quinfall	2294660	1006
2026-07-16T22:31:13	1784259073	The Quinfall	2294660	997
2026-07-16T22:35:22	1784259322	The Quinfall	2294660	997
2026-07-16T22:40:48	1784259648	The Quinfall	2294660	997
2026-07-16T22:41:59	1784259719	The Quinfall	2294660	997
2026-07-16T22:51:21	1784260281	The Quinfall	2294660	992
2026-07-16T22:59:02	1784260742	The Quinfall	2294660	999
2026-07-16T23:29:10	1784262550	The Quinfall	2294660	977
2026-07-16T23:59:18	1784264358	The Quinfall	2294660	953
2026-07-17T00:29:25	1784266165	The Quinfall	2294660	937
2026-07-17T00:59:33	1784267973	The Quinfall	2294660	980
2026-07-17T01:29:40	1784269780	The Quinfall	2294660	1022
2026-07-17T01:59:47	1784271587	The Quinfall	2294660	1036
2026-07-17T02:29:54	1784273394	The Quinfall	2294660	1044
2026-07-17T03:00:01	1784275201	The Quinfall	2294660	1066
2026-07-17T03:30:09	1784277009	The Quinfall	2294660	1083
2026-07-17T04:00:17	1784278817	The Quinfall	2294660	1083
2026-07-17T04:30:24	1784280624	The Quinfall	2294660	1077
2026-07-17T05:00:32	1784282432	The Quinfall	2294660	1082
2026-07-17T05:30:39	1784284239	The Quinfall	2294660	1091
2026-07-17T06:00:46	1784286046	The Quinfall	2294660	1104
2026-07-17T06:30:54	1784287854	The Quinfall	2294660	1138
2026-07-17T07:01:01	1784289661	The Quinfall	2294660	1137
2026-07-17T07:31:09	1784291469	The Quinfall	2294660	1138
2026-07-17T08:01:16	1784293276	The Quinfall	2294660	1123
2026-07-17T08:31:26	1784295086	The Quinfall	2294660	1139
2026-07-17T09:01:37	1784296897	The Quinfall	2294660	1161
2026-07-17T09:31:47	1784298707	The Quinfall	2294660	1164
2026-07-17T10:01:55	1784300515	The Quinfall	2294660	1177
2026-07-17T10:32:04	1784302324	The Quinfall	2294660	1190
2026-07-17T11:02:13	1784304133	The Quinfall	2294660	1184
2026-07-17T11:32:22	1784305942	The Quinfall	2294660	1180
2026-07-17T12:02:29	1784307749	The Quinfall	2294660	1180
2026-07-17T12:32:37	1784309557	The Quinfall	2294660	1182
2026-07-17T13:02:44	1784311364	The Quinfall	2294660	1228
2026-07-17T13:32:52	1784313172	The Quinfall	2294660	1239
2026-07-17T14:02:59	1784314979	The Quinfall	2294660	1230
2026-07-17T14:33:07	1784316787	The Quinfall	2294660	1181
2026-07-17T15:03:14	1784318594	The Quinfall	2294660	1128
2026-07-17T15:33:22	1784320402	The Quinfall	2294660	1078
2026-07-17T16:03:29	1784322209	The Quinfall	2294660	940
2026-07-17T16:33:37	1784324017	The Quinfall	2294660	1002
2026-07-17T17:03:45	1784325825	The Quinfall	2294660	921
2026-07-17T17:33:52	1784327632	The Quinfall	2294660	951
2026-07-17T18:04:00	1784329440	The Quinfall	2294660	955
2026-07-17T18:34:07	1784331247	The Quinfall	2294660	949
2026-07-17T19:04:15	1784333055	The Quinfall	2294660	960
2026-07-17T19:34:22	1784334862	The Quinfall	2294660	952
2026-07-17T20:04:30	1784336670	The Quinfall	2294660	961
2026-07-17T20:34:37	1784338477	The Quinfall	2294660	941
2026-07-17T21:04:45	1784340285	The Quinfall	2294660	937
2026-07-17T21:34:52	1784342092	The Quinfall	2294660	935
2026-07-17T22:05:00	1784343900	The Quinfall	2294660	948
2026-07-17T22:13:31	1784344411	The Quinfall	2294660	948
2026-07-17T22:19:53	1784344793	The Quinfall	2294660	946
2026-07-17T22:50:03	1784346603	The Quinfall	2294660	934
2026-07-17T23:20:12	1784348412	The Quinfall	2294660	938
2026-07-17T23:50:22	1784350222	The Quinfall	2294660	950
2026-07-18T00:20:30	1784352030	The Quinfall	2294660	930
2026-07-18T00:50:37	1784353837	The Quinfall	2294660	939
2026-07-18T01:20:44	1784355644	The Quinfall	2294660	940
2026-07-18T01:50:50	1784357450	The Quinfall	2294660	961
2026-07-18T02:20:57	1784359257	The Quinfall	2294660	983
2026-07-18T02:51:04	1784361064	The Quinfall	2294660	1009
2026-07-18T03:21:11	1784362871	The Quinfall	2294660	1041
2026-07-18T03:51:18	1784364678	The Quinfall	2294660	1046
2026-07-18T04:21:25	1784366485	The Quinfall	2294660	1063
2026-07-18T04:51:31	1784368291	The Quinfall	2294660	1061
2026-07-18T05:21:39	1784370099	The Quinfall	2294660	1086
2026-07-18T05:51:45	1784371905	The Quinfall	2294660	1075
2026-07-18T06:21:52	1784373712	The Quinfall	2294660	1094
2026-07-18T06:51:59	1784375519	The Quinfall	2294660	1127
2026-07-18T07:22:06	1784377326	The Quinfall	2294660	1159
2026-07-18T07:52:13	1784379133	The Quinfall	2294660	1168
2026-07-18T08:22:20	1784380940	The Quinfall	2294660	1199
2026-07-18T08:52:28	1784382748	The Quinfall	2294660	1192
2026-07-18T09:22:36	1784384556	The Quinfall	2294660	1205
2026-07-18T09:52:44	1784386364	The Quinfall	2294660	1224
2026-07-18T10:22:53	1784388173	The Quinfall	2294660	1220
2026-07-18T10:52:58	1784389978	The Quinfall	2294660	1232
2026-07-18T10:56:36	1784390196	The Quinfall	2294660	1232
2026-07-18T11:04:05	1784390645	The Quinfall	2294660	1224
2026-07-18T11:31:21	1784392281	The Quinfall	2294660	1231
2026-07-18T12:01:29	1784394089	The Quinfall	2294660	1226
2026-07-18T12:21:35	1784395295	The Quinfall	2294660	1252
2026-07-18T12:51:43	1784397103	The Quinfall	2294660	1261
2026-07-18T13:21:51	1784398911	The Quinfall	2294660	1304
2026-07-18T13:51:59	1784400719	The Quinfall	2294660	1301
2026-07-18T14:15:05	1784402105	The Quinfall	2294660	1287
2026-07-18T14:17:37	1784402257	The Quinfall	2294660	1287
2026-07-18T14:35:53	1784403353	The Quinfall	2294660	1236
2026-07-18T14:40:54	1784403654	The Quinfall	2294660	1236
2026-07-18T14:43:22	1784403802	The Quinfall	2294660	1236
2026-07-18T14:45:53	1784403953	The Quinfall	2294660	1236
2026-07-18T15:16:03	1784405763	The Quinfall	2294660	1191
2026-07-18T15:46:13	1784407573	The Quinfall	2294660	1140
2026-07-18T16:16:23	1784409383	The Quinfall	2294660	1123
2026-07-18T16:46:34	1784411194	The Quinfall	2294660	1114
2026-07-18T17:16:43	1784413003	The Quinfall	2294660	1065
2026-07-18T17:46:53	1784414813	The Quinfall	2294660	1030
2026-07-18T18:17:02	1784416622	The Quinfall	2294660	1015
2026-07-18T18:47:12	1784418432	The Quinfall	2294660	1010
2026-07-18T19:17:21	1784420241	The Quinfall	2294660	994
2026-07-18T19:47:31	1784422051	The Quinfall	2294660	1011
2026-07-18T20:17:41	1784423861	The Quinfall	2294660	995
2026-07-18T20:47:50	1784425670	The Quinfall	2294660	947
2026-07-18T21:18:00	1784427480	The Quinfall	2294660	954
2026-07-18T21:48:08	1784429288	The Quinfall	2294660	951
2026-07-18T22:18:17	1784431097	The Quinfall	2294660	961
2026-07-18T22:48:25	1784432905	The Quinfall	2294660	948
2026-07-18T23:18:33	1784434713	The Quinfall	2294660	950
2026-07-18T23:48:42	1784436522	The Quinfall	2294660	963
